,0
scolare,45
dice,45
pose,45
ragione,45
rinaldo,45
spazio,44
stava,44
furon,44
risposta,44
lietamente,44
sul,44
povero,44
porta,44
ser,43
posto,43
amava,43
vertù,43
lasciò,43
brigata,43
spesso,43
amata,43
credeva,43
ira,42
braccia,42
sieno,42
bocca,42
opera,42
trovato,42
saputo,42
cimone,42
data,42
donde,42
bellissima,42
pochi,42
albergo,41
levatosi,41
federigo,41
sentito,41
santa,41
laonde,41
mostrare,41
ciappelletto,41
mercatante,41
sedere,41
men,41
ricevuto,41
andarono,41
nozze,41
onesta,41
appena,40
geloso,40
comandamento,40
contrada,40
caldo,40
famigliare,40
sentire,40
pianto,40
piccola,40
oro,40
oimè,40
cotal,40
certi,40
nondimeno,40
signori,39
salabaetto,39
seppe,39
forze,39
andando,39
menò,39
meco,39
siamo,39
avvenuto,39
conosco,39
vicina,39
nicostrato,39
fama,39
veramente,39
parendogli,39
vivo,39
oste,39
divenuto,39
piaccia,39
vostri,39
petto,39
natan,39
credere,39
levò,38
quanti,38
bere,38
testa,38
pregò,38
sentì,38
tenere,38
filippo,38
dietro,38
gittò,38
rimase,38
doveva,38
aiuto,38
tale,38
conviene,38
ultimamente,37
gente,37
giudice,37
contenta,37
villania,37
dette,37
grave,37
ragionare,37
grado,37
dite,37
duca,37
piacevole,37
teneva,37
bel,37
brieve,37
state,37
fia,37
ridere,37
vuole,37
pensando,37
trovata,37
maravigliosa,37
fra,37
ottimamente,37
finestra,36
elle,36
credendo,36
farlo,36
vicini,36
effetto,36
aspettare,36
ove,36
conoscere,36
giorni,36
pace,36
materia,36
disposto,36
braccio,36
udita,35
dunque,35
savia,35
cercando,35
avevano,35
ecco,35
però,35
qualunque,35
pena,35
migliore,35
mercatanti,35
età,35
piedi,35
compagno,35
roma,35
uscì,35
alquanti,35
detta,35
sta,35
lume,35
dissero,34
tenuto,34
gualtieri,34
ricevette,34
dar,34
entro,34
diavolo,34
vino,34
fai,34
nobile,34
dolce,34
sofronia,34
voluto,34
entrato,34
vista,34
pirro,34
natura,34
zeppa,34
fuggire,33
virtù,33
alto,33
entrare,33
lasciata,33
parigi,33
veggio,33
mostrò,33
arriguccio,33
turbato,33
veggendosi,33
usanza,33
feci,33
anello,33
ciascuna,33
volea,33
fermamente,33
par,32
torno,32
motto,32
aspettava,32
mezzo,32
allo,32
nulla,32
spesse,32
romore,32
riguardando,32
tempi,32
disiderava,32
fo,32
posta,32
bernabò,32
aperto,32
sarò,32
convien,32
soldano,32
ivi,32
chetamente,32
anno,32
amanti,32
cavalli,31
tuttavia,31
segretamente,31
avevan,31
trovar,31
mercé,31
pervenne,31
impose,31
avrei,31
portava,31
forma,31
giammai,31
andata,31
mercatantia,31
nello,31
stando,31
saper,31
vedeva,31
conobbe,31
indietro,31
beffe,31
arca,31
arte,30
cassa,30
anche,30
palagio,30
salute,30
prenze,30
ogn,30
sala,30
pianamente,30
amo,30
tornato,30
parente,30
essendosi,30
venuti,30
pezza,30
altressì,30
siate,30
voce,30
genova,30
nuovo,30
paresse,30
veniva,30
guiscardo,30
sapete,30
giannotto,30
maravigliò,30
primieramente,30
fui,30
udire,30
sorella,29
potete,29
tener,29
esse,29
chiamò,29
averlo,29
ambruogiuolo,29
arme,29
innamorato,29
vennero,29
frati,29
freddo,29
dormiva,29
innamorò,29
tue,29
avvenire,29
castello,29
creduto,29
divenne,29
potea,29
desinare,29
cotanto,29
abbiamo,29
morta,29
onor,29
addosso,28
bologna,28
accidente,28
maggiori,28
usato,28
vecchio,28
ricevere,28
dovete,28
camiscia,28
certe,28
guiglielmo,28
rimaso,28
corse,28
buone,28
isola,28
credi,28
diliberò,28
maraviglia,28
proposto,28
figliuol,28
tratto,28
cammino,28
monna,28
condizione,28
pensare,28
servire,27
